Country;General;Police;"Medical / 
Ambulance";Fire;Notes
Nepal;-;100, 103;102;101;Standard GSM emergency number 112 is supported in mobile networks
Netherlands;112;;;;"Police (non-urgent) – 0900-8844
Animal police - 144"
New Zealand;111;;;;"Ttraffic (from mobile phones only) - *555;
911 and 112 both redirect to the 111 service if dialed from a GSM mobile;
000 and 999 plays a pre-recorded message advising the caller to hang up and call 111;
Deaf TTY - 0800 161616;
Deaf fax - 0800 161610;
Deaf SMS (registered mobile phones only) - 111;
Crime Stoppers - 0800 555 111 "
Nicaragua;118;;;;
Nigeria;112;;;;112 for any of the 3 services
North Korea;819;;;;"Standard GSM emergency number 112 is supported in mobile networks;
Operators mostly speak only Korean, some may speak English, Russian or Chinese"
Norway;-;112;113;110;"Emergency at open sea - 120; 
TDD (textphone for the deaf or hearing impaired) - 1412"
Oman;999;;;;
Pakistan;15, 1122;15;115, 1122;16;"Standard GSM emergency number 112 is supported in mobile networks;
Traffic police - 1915"
Panama;911 or 112;;;;
Paraguay;911;;;;
Peru;-;105;106;116;"Civil defense (disasters) - 115;
Domestic violence helpline - 100"
Philippines;117;;;;"117 may also be texted from mobile phones;
Standard GSM emergency number 112 as well as North American emergency number 911 are supported in mobile networks;
Motorist assistance - 136 (Metro Manila only);
Child abuse hotline (Bantay Bata) - 163"
Poland;112;997;999;998;"Municipal police – 986; 
Natural gas/LPG emergencies – 992"
Portugal;112;;115;;"Forest fire – 117; 
Sea Rescue - 214 401 919;
Maritime Police (plus pick-up boat service) - 210 911 100
"
Qatar;999;;;;
Republic of Macedonia;112;192;194;193;
Romania;112;955;961;981;"Gendarmerie – 956; 
Civil Protection – 982; 
Family Violence – 983"
Russia;112;2;3;1;Emergency Gas Service (Gas leaks) – 04
Rwanda;-;112;;;
Saint Pierre and Miquelon;-;17;15;18;Same as France
San Marino;-;113;118;115;
Saudi Arabia;-;999;997;998;"Traffic police - 993;
Emergency rescue - 911, 112 or 08"
Serbia;112;192;194;193;
Sierra Leone;-;19;999;;
Singapore;-;999;995;995;Standard GSM emergency number 112 is supported for foreign mobile phones that use incoming roaming service in Singapore
Slovakia;112;158;155;150;
Slovenia;112;113;;;
Solomon Islands;999;;;;"There are also local numbers for each service in each urban centre. 
These local numbers may be quicker than dialling 999."
South Africa;-;10111;10177;10111;From mobile phones - 112
South Korea;-;112;119;119;"National security hotline - 111;
Reporting spies - 113;
Missing person hotline - 182;
114 connects to the phone service provider"
Spain;112;91;61;80;"Local Police – 092;
Civil Guard – 062; 
Catalan police - 088; 
Dirección General de Tráfico - 011"
Sri Lanka;;119, 118;110;111;Accident service - 11-2691111
Sudan;999;;;;Traffic Police - 777777
Suriname;115;;;;
Sweden;112;;;;"Non-urgent police – 11414
Non-urgent medical - 1177"
Switzerland;112;117;144;118;"Poison – 145; 
Road emergency – 140; 
Psychological support (free and anonymous) – 143; 
Psychological support for teens and children (free and anonymous) – 147; 
Helicopter air-rescue (Rega) – 1414 or by radio on 161.300 MHz; 
Mountain rescue (Air Glaciers) (in Valais only) – 1415"
Syria;112;110;113;;
Taiwan;-;110;119;;Standard GSM emergency number 112 is supported in mobile networks
Tajikistan;-;102;103;101;"Standard GSM emergency number 112 is supported in mobile networks;
Gas leaks - 104"
Thailand;999;191;1669, 199;199;"Standard GSM emergency number 112 is supported in mobile networks. 911 for Tourist Police Department, English available;
Traffic Control Center (Bangkok Metro Only) - 1197;
Highway Patrol - 1193"
Trinidad and Tobago;-;999;990;990;
Tunisia;-;197;190;198;National guard – 193
Turkey;112;;;;
Uganda;-;999 or 112;;;
Ukraine;112;102;103;101;Gas leaks – 104
United Arab Emirates;-;999, 112;998, 999;997;
United Kingdom;999 or 112;;;;Access code via text for disabled people - 18000
United States of America;911;;;;Various services available through regional or national N11 codes (e.g.: 311 non-emergency police or city services) in certain areas.
Uruguay;911;;;;
Vanuatu;112;;;;
Vatican City;-;113;118;115;112 is redirected to 113 on GSM mobile phones
Venezuela;171;;;;
Vietnam;-;113;115;114;
Zambia;-;999;991;993;From mobile phones - 112
Zimbabwe;-;995;994;993;"999 for any of the 3 services;
112 from mobile phones"
